County,Population
Los Angeles ,"10,014,009"
San Diego,"3,298,634"
Orange,"3,186,989"
Riverside,"2,418,185"
San Bernardino,"2,181,654"
Santa Clara,"1,936,259"
Alameda,"1,682,353"
Sacramento,"1,585,055"
Contra Costa,"1,165,927"
Fresno,"1,008,654"
Kern,"909,235"
San Francisco,"873,965"
Ventura,"843,843"
San Joaquin,"779,233"
San Mateo,"764,442"
Stanislaus,"552,878"
Sonoma,"488,863"
Tulare,"473,117"
Solano,"453,491"
Santa Barbara,"448,229"
Monterey,"439,035"
Placer,"404,739"
San Luis Obispo,"282,424"
Merced,"281,202"
Santa Cruz,"270,861"
Marin,"262,321"
Yolo,"216,403"
Butte,"211,632"
El Dorado,"191,185"
Shasta,"182,155"
Imperial,"179,702"
Madera,"156,255"
Kings,"152,486"
Napa,"138,019"
Humboldt,"136,463"
Nevada,"102,241"
Sutter,"99,633"
Mendocino,"91,601"
Yuba,"81,575"
Lake,"68,163"
Tehama,"65,829"
San Benito,"64,209"
Tuolumne,"55,620"
Calaveras,"45,292"
Siskiyou,"44,076"
Amador,"40,474"
Lassen,"32,730"
Glenn,"28,917"
Del Norte,"27,743"
Colusa,"21,839"
Plumas,"19,790"
Inyo,"19,016"
Mariposa,"17,131"
Trinity,"16,112"
Mono,"13,195"
Modoc,"8,700"
Sierra,"3,236"
Alpine,"1,204"