County,Rates,Counts,Year
Alameda,0.24,4.0,2015
Alpine,0.0,0.0,2015
Amador,0.0,0.0,2015
Butte,0.33,1.0,2015
Calaveras,2.81,1.0,2015
California,0.33,132.0,2015
Colusa,0.0,0.0,2015
Contra Costa,0.34,4.0,2015
Del Norte,0.0,0.0,2015
El Dorado,0.0,0.0,2015
Fresno,0.11,1.0,2015
Glenn,0.0,0.0,2015
Humboldt,2.49,3.0,2015
Imperial,0.0,0.0,2015
Inyo,0.0,0.0,2015
Kern,0.83,8.0,2015
Kings,0.0,0.0,2015
Lake,0.88,1.0,2015
Lassen,3.31,1.0,2015
Los Angeles,0.12,12.0,2015
Madera,0.0,0.0,2015
Marin,0.0,0.0,2015
Mariposa,0.0,0.0,2015
Mendocino,2.99,2.0,2015
Merced,0.91,2.0,2015
Modoc,0.0,0.0,2015
Mono,0.0,0.0,2015
Monterey,0.0,0.0,2015
Napa,0.0,0.0,2015
Nevada,0.41,1.0,2015
Orange,0.52,18.0,2015
Placer,0.0,0.0,2015
Plumas,7.71,1.0,2015
Riverside,0.22,5.0,2015
Sacramento,0.0,0.0,2015
San Benito,0.0,0.0,2015
San Bernardino,0.14,3.0,2015
San Diego,0.67,23.0,2015
San Francisco,0.94,11.0,2015
San Joaquin,0.14,1.0,2015
San Luis Obispo,0.93,2.0,2015
San Mateo,0.14,1.0,2015
Santa Barbara,0.6,3.0,2015
Santa Clara,0.34,7.0,2015
Santa Cruz,1.32,3.0,2015
Shasta,0.0,0.0,2015
Sierra,0.0,0.0,2015
Siskiyou,0.0,0.0,2015
Solano,0.4,2.0,2015
Sonoma,0.95,4.0,2015
Stanislaus,0.0,0.0,2015
Sutter,0.0,0.0,2015
Tehama,0.89,1.0,2015
Trinity,0.0,0.0,2015
Tulare,0.0,0.0,2015
Tuolumne,2.99,1.0,2015
Alameda,0.5,9.0,2016
Alpine,0.0,0.0,2016
Amador,3.97,1.0,2016
Butte,0.26,1.0,2016
Calaveras,4.07,2.0,2016
California,0.59,239.0,2016
Colusa,0.0,0.0,2016
Contra Costa,0.4,4.0,2016
Del Norte,3.34,1.0,2016
El Dorado,0.64,1.0,2016
Fresno,0.4,4.0,2016
Glenn,0.0,0.0,2016
Humboldt,0.69,1.0,2016
Imperial,0.0,0.0,2016
Inyo,7.68,1.0,2016
Kern,0.2,2.0,2016
Kings,0.0,0.0,2016
Lake,0.91,1.0,2016
Lassen,0.0,0.0,2016
Los Angeles,0.56,58.0,2016
Madera,0.0,0.0,2016
Marin,0.58,1.0,2016
Mariposa,0.0,0.0,2016
Mendocino,1.53,1.0,2016
Merced,1.24,3.0,2016
Modoc,0.0,0.0,2016
Mono,0.0,0.0,2016
Monterey,0.18,1.0,2016
Napa,0.0,0.0,2016
Nevada,1.37,1.0,2016
Orange,1.03,33.0,2016
Placer,0.58,2.0,2016
Plumas,0.0,0.0,2016
Riverside,0.44,10.0,2016
Sacramento,0.83,13.0,2016
San Benito,0.0,0.0,2016
San Bernardino,0.21,5.0,2016
San Diego,0.87,30.0,2016
San Francisco,1.53,16.0,2016
San Joaquin,0.64,5.0,2016
San Luis Obispo,0.0,0.0,2016
San Mateo,0.24,2.0,2016
Santa Barbara,0.38,2.0,2016
Santa Clara,0.48,10.0,2016
Santa Cruz,0.91,2.0,2016
Shasta,0.55,1.0,2016
Sierra,0.0,0.0,2016
Siskiyou,3.09,1.0,2016
Solano,0.0,0.0,2016
Sonoma,0.85,4.0,2016
Stanislaus,0.19,1.0,2016
Sutter,0.0,0.0,2016
Tehama,0.0,0.0,2016
Trinity,6.7,1.0,2016
Tulare,0.0,0.0,2016
Tuolumne,1.12,1.0,2016
Alameda,0.32,6.0,2017
Alpine,0.0,0.0,2017
Amador,0.0,0.0,2017
Butte,0.61,1.0,2017
Calaveras,0.0,0.0,2017
California,1.06,431.0,2017
Colusa,0.0,0.0,2017
Contra Costa,1.33,14.0,2017
Del Norte,0.0,0.0,2017
El Dorado,0.66,1.0,2017
Fresno,0.4,4.0,2017
Glenn,0.0,0.0,2017
Humboldt,0.85,1.0,2017
Imperial,0.0,0.0,2017
Inyo,0.0,0.0,2017
Kern,1.41,12.0,2017
Kings,0.0,0.0,2017
Lake,6.12,4.0,2017
Lassen,0.0,0.0,2017
Los Angeles,1.08,117.0,2017
Madera,0.0,0.0,2017
Marin,0.98,2.0,2017
Mariposa,0.0,0.0,2017
Mendocino,2.87,2.0,2017
Merced,0.0,0.0,2017
Modoc,0.0,0.0,2017
Mono,0.0,0.0,2017
Monterey,0.21,1.0,2017
Napa,0.0,0.0,2017
Nevada,0.45,1.0,2017
Orange,1.43,47.0,2017
Placer,0.32,1.0,2017
Plumas,0.0,0.0,2017
Riverside,1.17,28.0,2017
Sacramento,0.55,9.0,2017
San Benito,3.26,2.0,2017
San Bernardino,0.57,12.0,2017
San Diego,2.04,75.0,2017
San Francisco,1.64,19.0,2017
San Joaquin,0.62,5.0,2017
San Luis Obispo,0.0,0.0,2017
San Mateo,1.2,9.0,2017
Santa Barbara,2.11,9.0,2017
Santa Clara,0.66,13.0,2017
Santa Cruz,0.46,1.0,2017
Shasta,0.63,1.0,2017
Sierra,0.0,0.0,2017
Siskiyou,3.53,1.0,2017
Solano,0.0,0.0,2017
Sonoma,0.86,4.0,2017
Stanislaus,0.72,3.0,2017
Sutter,0.0,0.0,2017
Tehama,0.0,0.0,2017
Trinity,0.0,0.0,2017
Tulare,0.0,0.0,2017
Tuolumne,0.0,0.0,2017
Alameda,0.8,14.0,2018
Alpine,0.0,0.0,2018
Amador,2.9,1.0,2018
Butte,0.0,0.0,2018
Calaveras,0.0,0.0,2018
California,1.95,786.0,2018
Colusa,0.0,0.0,2018
Contra Costa,2.24,25.0,2018
Del Norte,0.0,0.0,2018
El Dorado,1.14,2.0,2018
Fresno,0.18,2.0,2018
Glenn,0.0,0.0,2018
Humboldt,0.0,0.0,2018
Imperial,1.98,3.0,2018
Inyo,7.22,1.0,2018
Kern,3.29,28.0,2018
Kings,0.0,0.0,2018
Lake,3.62,3.0,2018
Lassen,0.0,0.0,2018
Los Angeles,1.9,201.0,2018
Madera,0.0,0.0,2018
Marin,0.67,2.0,2018
Mariposa,0.0,0.0,2018
Mendocino,1.43,1.0,2018
Merced,2.95,8.0,2018
Modoc,0.0,0.0,2018
Mono,0.0,0.0,2018
Monterey,0.42,2.0,2018
Napa,0.0,0.0,2018
Nevada,1.4,1.0,2018
Orange,2.94,94.0,2018
Placer,0.0,0.0,2018
Plumas,18.11,2.0,2018
Riverside,2.19,52.0,2018
Sacramento,0.93,14.0,2018
San Benito,1.56,1.0,2018
San Bernardino,1.38,30.0,2018
San Diego,2.31,82.0,2018
San Francisco,7.06,69.0,2018
San Joaquin,0.37,3.0,2018
San Luis Obispo,0.44,1.0,2018
San Mateo,1.69,13.0,2018
Santa Barbara,1.96,9.0,2018
Santa Clara,0.52,11.0,2018
Santa Cruz,0.73,2.0,2018
Shasta,0.0,0.0,2018
Sierra,0.0,0.0,2018
Siskiyou,0.0,0.0,2018
Solano,1.27,5.0,2018
Sonoma,4.34,21.0,2018
Stanislaus,1.15,7.0,2018
Sutter,1.33,1.0,2018
Tehama,0.0,0.0,2018
Trinity,3.0,1.0,2018
Tulare,0.0,0.0,2018
Tuolumne,0.0,0.0,2018
Alameda,3.15,56.0,2019
Alpine,0.0,0.0,2019
Amador,3.94,2.0,2019
Butte,1.11,2.0,2019
Calaveras,0.0,0.0,2019
California,4.01,1603.0,2019
Colusa,4.84,1.0,2019
Contra Costa,4.46,49.0,2019
Del Norte,0.0,0.0,2019
El Dorado,1.32,2.0,2019
Fresno,1.68,15.0,2019
Glenn,0.0,0.0,2019
Humboldt,6.52,8.0,2019
Imperial,3.51,6.0,2019
Inyo,6.93,1.0,2019
Kern,5.77,54.0,2019
Kings,0.0,0.0,2019
Lake,5.41,4.0,2019
Lassen,7.54,2.0,2019
Los Angeles,3.91,406.0,2019
Madera,1.82,3.0,2019
Marin,5.25,11.0,2019
Mariposa,0.0,0.0,2019
Mendocino,11.14,9.0,2019
Merced,1.5,4.0,2019
Modoc,0.0,0.0,2019
Mono,0.0,0.0,2019
Monterey,2.03,9.0,2019
Napa,1.78,2.0,2019
Nevada,0.0,0.0,2019
Orange,3.92,126.0,2019
Placer,1.8,6.0,2019
Plumas,3.17,1.0,2019
Riverside,5.42,134.0,2019
Sacramento,2.38,36.0,2019
San Benito,5.16,3.0,2019
San Bernardino,3.41,74.0,2019
San Diego,4.12,142.0,2019
San Francisco,19.07,196.0,2019
San Joaquin,1.97,14.0,2019
San Luis Obispo,3.08,8.0,2019
San Mateo,4.75,36.0,2019
Santa Barbara,3.11,15.0,2019
Santa Clara,1.23,25.0,2019
Santa Cruz,2.05,5.0,2019
Shasta,3.94,6.0,2019
Sierra,0.0,0.0,2019
Siskiyou,3.29,1.0,2019
Solano,4.04,18.0,2019
Sonoma,8.52,41.0,2019
Stanislaus,2.82,15.0,2019
Sutter,1.71,2.0,2019
Tehama,0.0,0.0,2019
Trinity,0.0,0.0,2019
Tulare,1.25,6.0,2019
Tuolumne,0.78,1.0,2019
Alameda,6.6,117.0,2020
Alpine,0.0,0.0,2020
Amador,6.71,2.0,2020
Butte,2.51,6.0,2020
Calaveras,3.12,1.0,2020
California,9.86,3946.0,2020
Colusa,6.09,1.0,2020
Contra Costa,9.77,108.0,2020
Del Norte,9.01,3.0,2020
El Dorado,5.35,10.0,2020
Fresno,4.13,43.0,2020
Glenn,4.88,1.0,2020
Humboldt,7.88,10.0,2020
Imperial,10.67,18.0,2020
Inyo,22.03,3.0,2020
Kern,15.13,139.0,2020
Kings,3.37,5.0,2020
Lake,7.17,5.0,2020
Lassen,7.12,2.0,2020
Los Angeles,9.38,970.0,2020
Madera,1.98,3.0,2020
Marin,10.44,22.0,2020
Mariposa,0.0,0.0,2020
Mendocino,19.02,14.0,2020
Merced,6.38,18.0,2020
Modoc,0.0,0.0,2020
Mono,0.0,0.0,2020
Monterey,5.36,23.0,2020
Napa,3.45,5.0,2020
Nevada,21.77,18.0,2020
Orange,12.09,385.0,2020
Placer,7.3,26.0,2020
Plumas,0.0,0.0,2020
Riverside,11.08,274.0,2020
Sacramento,3.5,54.0,2020
San Benito,3.27,2.0,2020
San Bernardino,10.29,227.0,2020
San Diego,11.7,406.0,2020
San Francisco,38.1,380.0,2020
San Joaquin,6.71,51.0,2020
San Luis Obispo,12.5,33.0,2020
San Mateo,7.41,58.0,2020
Santa Barbara,2.33,10.0,2020
Santa Clara,4.38,84.0,2020
Santa Cruz,5.58,13.0,2020
Shasta,4.51,7.0,2020
Sierra,0.0,0.0,2020
Siskiyou,4.84,2.0,2020
Solano,6.19,26.0,2020
Sonoma,21.84,102.0,2020
Stanislaus,10.16,54.0,2020
Sutter,3.83,4.0,2020
Tehama,1.04,1.0,2020
Trinity,0.0,0.0,2020
Tulare,6.25,29.0,2020
Tuolumne,2.64,1.0,2020
